raw21,omega_pll_rad_s,iq_ref_a,dbg_iq_a
1213645.000000,108.157387,0.174137,0.225508
1194328.000000,113.477043,0.129585,0.252162
1176479.000000,112.075050,0.129585,0.193338
1159313.000000,108.687019,0.110878,0.091236
1140443.000000,111.367073,0.110878,0.182137
1122798.000000,108.990891,0.106935,0.088444
1106987.000000,101.793755,0.106935,-0.018432
1089998.000000,100.664780,0.213837,0.204883
1073006.000000,99.975006,0.213837,0.189509
1057271.000000,95.956070,0.228640,0.123149
1041901.000000,92.546181,0.228640,0.264450
1025538.000000,93.709106,0.300622,0.268499
1008977.000000,95.373474,0.300622,0.214936
993547.000000,93.258568,0.273851,0.251558
977299.000000,94.756943,0.273851,0.387499
959430.000000,100.739899,0.263937,0.373313
942979.000000,100.322350,0.263937,0.130502
925956.000000,101.929520,0.224233,0.187742
907776.000000,106.183197,0.224233,0.125245
891024.000000,104.342903,0.158928,0.217204
875619.000000,98.757774,0.158928,0.181518
859668.000000,96.648834,0.245575,0.268804
843090.000000,97.236206,0.245575,0.230538
827771.000000,93.762253,0.252793,0.238262
813709.000000,87.876053,0.252793,0.299160
797965.000000,89.478912,0.349408,0.031342
782649.000000,89.330681,0.349408,0.184925
768961.000000,84.680199,0.339911,0.287160
753529.000000,87.432625,0.339911,0.262036
737473.000000,91.293251,0.341934,0.463262
722252.000000,91.490616,0.341934,0.311156
707109.000000,91.407661,0.309797,0.269701
690412.000000,96.127365,0.309797,0.400625
672980.000000,101.319885,0.248787,0.314600
656946.000000,100.210098,0.248787,0.191743
640166.000000,101.704796,0.227606,0.371005
621666.000000,107.437943,0.227606,0.154702
605152.000000,104.805611,0.149701,0.101467
588657.000000,102.815598,0.149701,0.143998
570621.000000,105.902428,0.191802,0.213217
553116.000000,106.157425,0.191802,0.151198
536801.000000,102.490044,0.169267,0.269405
519947.000000,101.620499,0.169267,0.207070
502185.000000,103.808296,0.205007,0.314512
485475.000000,101.988182,0.205007,0.198180
469328.000000,99.193977,0.213034,0.182616
451206.000000,103.500610,0.213034,0.180332
433718.000000,104.264076,0.180808,0.283460
417778.000000,100.143158,0.180808,0.089873
400097.000000,102.843132,0.225480,0.217671
381419.000000,107.568092,0.225480,0.245899
365320.000000,102.628998,0.148048,0.009541
349833.000000,97.437302,0.148048,-0.004618
333318.000000,97.190201,0.254811,0.061848
317129.000000,96.081360,0.254811,0.281463
302748.000000,90.034943,0.273407,0.380187
287107.000000,90.359795,0.273407,0.368489
270180.000000,94.714615,0.310874,0.298576
254895.000000,92.856804,0.310874,0.187375
239091.000000,93.569855,0.301482,0.396354
221155.000000,100.568977,0.301482,0.209891
203423.000000,104.609367,0.207562,0.193901
186317.000000,105.160454,0.207562,0.368273
167734.000000,109.813072,0.167153,0.215992
148024.000000,115.890915,0.167153,0.236685
129903.000000,114.497673,0.062072,0.023688
112464.000000,111.115074,0.062072,0.014194
93214.000000,113.972343,0.110961,0.131419
75370.000000,111.076530,0.110961,0.094574
59206.000000,103.988983,0.129373,0.158848
41645.000000,103.486809,0.129373,0.189202
24542.000000,101.887428,0.189496,0.218440
8870.000000,96.650963,0.189496,0.097258
2090282.000000,93.813232,0.268565,0.317796
