raw21,omega_pll,Iq_ref,dbg_iq_a
655586.000000,300.401550,0.113699,-0.089377
604026.000000,300.602478,0.113699,0.166052
552703.000000,298.396423,0.348745,0.243201
502447.000000,297.552673,0.348745,0.228674
451720.000000,296.639099,0.604023,0.291548
400589.000000,297.663513,0.604023,0.565486
350570.000000,297.187897,0.557761,0.368807
303320.000000,297.997467,0.557761,0.642806
255555.000000,298.431488,0.426423,0.659930
204867.000000,299.270081,0.426423,0.655864
150137.000000,299.022339,0.329650,0.370010
95333.000000,299.721497,0.329650,0.319305
43458.000000,299.145691,0.322186,0.352925
2091732.000000,299.407288,0.322186,0.422736
2042231.000000,299.679169,0.312631,0.332617
1990451.000000,301.143768,0.312631,0.453253
1938582.000000,301.287109,0.101150,0.298423
1889846.000000,301.866089,0.101150,0.184845
